掘进机                                       ,客户    ,中铁十二局集团有限公司                                          ,
掘进机                                       ,产品类别  ,土压平衡盾构机                                              ,
掘进机                                       ,设备型号  ,ZTE8800技术参数                                          ,
土压平衡盾构机                                   ,同类型   ,盾构机                                                  ,
企业                                        ,包含    ,中铁十二局集团有限公司                                          ,
                                          ,      ,                                                     ,
DZ495/496                                 ,包含    ,掘进机设计任务书                                             ,
设计任务                                      ,包含    ,掘进机设计任务                                              ,
DZ495/496                                 ,包含    ,合同内供货范围                                              ,
DZ495/496                                 ,包含    ,设计任务分工                                               ,
DZ495/496                                 ,包含    ,项目图号                                                 ,
DZ495/496                                 ,包含    ,项目设计进度计划                                             ,
DZ495/496                                 ,包含    ,主要配件供应商明细                                            ,
                                          ,      ,                                                     ,
掘进机                                       ,出厂编号  ,DZ495/496                                            ,
掘进机                                       ,交货地点  ,广州18/22号线项目部                                         ,
掘进机                                       ,交货日期  ,2018年5月18日                                           ,
掘进机                                       ,紧急程度  ,一般                                                   ,
掘进机设计任务书                                  ,文件编号  ,JJSY-YF–SJ-17103001                                  ,
掘进机设计任务书                                  ,编制    ,王工                                                   ,
掘进机设计任务书                                  ,审核    ,刘工                                                   ,
掘进机设计任务书                                  ,审定    ,张工                                                   ,
掘进机设计任务书                                  ,批准    ,李工                                                   ,
王工                                        ,同事    ,刘工                                                   ,
王工                                        ,组长    ,张工                                                   ,
王工                                        ,主管    ,李工                                                   ,
刘工                                        ,组长    ,张工                                                   ,
刘工                                        ,主管    ,李工                                                   ,
张工                                        ,主管    ,李工                                                   ,
掘进机                                       ,客户要求  ,1、确认配置冷冻刀盘，切刀2个连续磨损检测，刮刀2个连续磨损检测                     ,
掘进机                                       ,客户要求  ,2、确认盾构机为主动铰接                                         ,
掘进机                                       ,客户要求  ,3、确认采用中心支撑形式                                         ,
掘进机                                       ,客户要求  ,4、确认配置环保厕所                                           ,
掘进机                                       ,客户要求  ,5、建议核实冷冻机组尺寸和能力                                      ,
掘进机                                       ,客户要求  ,6、建议核实刀盘、盾体、拼装机由8.8m盾构改9.1m盾构的便利性，并提供改造方案            ,
掘进机                                       ,客户要求  ,7、建议刀盘边缘滚刀配置双刃滚刀并提供方案                                ,
掘进机                                       ,客户要求  ,8、建议刀盘背部面板上的4个主动搅拌棒往内圆方向移动，支腿上的3个主动搅拌棒往上移动           ,
掘进机                                       ,客户要求  ,9、建议核实主机最小水平转弯半径                                     ,
掘进机                                       ,客户要求  ,10、建议进行热平衡计算                                         ,
掘进机                                       ,客户要求  ,11、建议核实螺旋机第一节筒体油缸开闭式检修门与120°可更换筒体是否可以共存              ,
掘进机                                       ,客户要求  ,12、建议根据列车编组长度核实落料口位置                                 ,
掘进机                                       ,客户要求  ,13、建议油漆参照大直径泥水“太阳花刀盘”                                ,
掘进机                                       ,客户要求  ,14、合同签订购买2台土压平衡盾构工厂验收时间第一台为2018年5月18日，第二台为2018年6月18日。,
                                          ,      ,                                                     ,
产品需求                                      ,客户要求  ,1、确认配置冷冻刀盘，切刀2个连续磨损检测，刮刀2个连续磨损检测                     ,
产品需求                                      ,客户要求  ,2、确认盾构机为主动铰接                                         ,
产品需求                                      ,客户要求  ,3、确认采用中心支撑形式                                         ,
产品需求                                      ,客户要求  ,4、确认配置环保厕所                                           ,
产品需求                                      ,客户要求  ,5、建议核实冷冻机组尺寸和能力                                      ,
